county,precinct,office,party,district,candidate,votes
Wheeler,Fossil,President,D,,Hillary Clinton,59
Wheeler,Mitchell,President,D,,Hillary Clinton,37
Wheeler,Spray,President,D,,Hillary Clinton,18
Wheeler,Fossil,President,D,,Barack Obama,55
Wheeler,Mitchell,President,D,,Barack Obama,24
Wheeler,Spray,President,D,,Barack Obama,30
Wheeler,Fossil,President,D,,Write-ins,6
Wheeler,Mitchell,President,D,,Write-ins,2
Wheeler,Spray,President,D,,Write-ins,0
Wheeler,Fossil,President,D,,Over Votes,3
Wheeler,Mitchell,President,D,,Over Votes,0
Wheeler,Spray,President,D,,Over Votes,0
Wheeler,Fossil,President,D,,Under Votes,8
Wheeler,Mitchell,President,D,,Under Votes,5
Wheeler,Spray,President,D,,Under Votes,7
Wheeler,Fossil,U.S. Senate,D,,Paul Goberman,3
Wheeler,Mitchell,U.S. Senate,D,,Paul Goberman,4
Wheeler,Spray,U.S. Senate,D,,Paul Goberman,3
Wheeler,Fossil,U.S. Senate,D,,Jeff Merkley,51
Wheeler,Mitchell,U.S. Senate,D,,Jeff Merkley,31
Wheeler,Spray,U.S. Senate,D,,Jeff Merkley,15
Wheeler,Fossil,U.S. Senate,D,,Roger S. Obrist,7
Wheeler,Mitchell,U.S. Senate,D,,Roger S. Obrist,2
Wheeler,Spray,U.S. Senate,D,,Roger S. Obrist,1
Wheeler,Fossil,U.S. Senate,D,,David Loera,1
Wheeler,Mitchell,U.S. Senate,D,,David Loera,1
Wheeler,Spray,U.S. Senate,D,,David Loera,1
Wheeler,Fossil,U.S. Senate,D,,Candy Neville,4
Wheeler,Mitchell,U.S. Senate,D,,Candy Neville,3
Wheeler,Spray,U.S. Senate,D,,Candy Neville,7
Wheeler,Fossil,U.S. Senate,D,,Steve Novick,41
Wheeler,Mitchell,U.S. Senate,D,,Steve Novick,21
Wheeler,Spray,U.S. Senate,D,,Steve Novick,18
Wheeler,Fossil,U.S. Senate,D,,Write-ins,6
Wheeler,Mitchell,U.S. Senate,D,,Write-ins,2
Wheeler,Spray,U.S. Senate,D,,Write-ins,3
Wheeler,Fossil,U.S. Senate,D,,Over Votes,3
Wheeler,Mitchell,U.S. Senate,D,,Over Votes,0
Wheeler,Spray,U.S. Senate,D,,Over Votes,0
Wheeler,Fossil,U.S. Senate,D,,Under Votes,15
Wheeler,Mitchell,U.S. Senate,D,,Under Votes,4
Wheeler,Spray,U.S. Senate,D,,Under Votes,7
Wheeler,Fossil,U.S. House,D,2,Noah Lemas,74
Wheeler,Mitchell,U.S. House,D,2,Noah Lemas,48
Wheeler,Spray,U.S. House,D,2,Noah Lemas,29
Wheeler,Fossil,U.S. House,D,2,Write-ins,6
Wheeler,Mitchell,U.S. House,D,2,Write-ins,2
Wheeler,Spray,U.S. House,D,2,Write-ins,2
Wheeler,Fossil,U.S. House,D,2,Over Votes,1
Wheeler,Mitchell,U.S. House,D,2,Over Votes,0
Wheeler,Spray,U.S. House,D,2,Over Votes,0
Wheeler,Fossil,U.S. House,D,2,Under Votes,50
Wheeler,Mitchell,U.S. House,D,2,Under Votes,18
Wheeler,Spray,U.S. House,D,2,Under Votes,24
Wheeler,Fossil,Secretary of State,D,,Kate Brown,47
Wheeler,Mitchell,Secretary of State,D,,Kate Brown,24
Wheeler,Spray,Secretary of State,D,,Kate Brown,24
Wheeler,Fossil,Secretary of State,D,,Rick Metsger,48
Wheeler,Mitchell,Secretary of State,D,,Rick Metsger,24
Wheeler,Spray,Secretary of State,D,,Rick Metsger,12
Wheeler,Fossil,Secretary of State,D,,Vicki L. Walker,13
Wheeler,Mitchell,Secretary of State,D,,Vicki L. Walker,8
Wheeler,Spray,Secretary of State,D,,Vicki L. Walker,3
Wheeler,Fossil,Secretary of State,D,,Paul Damian Wells,2
Wheeler,Mitchell,Secretary of State,D,,Paul Damian Wells,5
Wheeler,Spray,Secretary of State,D,,Paul Damian Wells,2
Wheeler,Fossil,Secretary of State,D,,Write-ins,1
Wheeler,Mitchell,Secretary of State,D,,Write-ins,3
Wheeler,Spray,Secretary of State,D,,Write-ins,2
Wheeler,Fossil,Secretary of State,D,,Over Votes,1
Wheeler,Mitchell,Secretary of State,D,,Over Votes,0
Wheeler,Spray,Secretary of State,D,,Over Votes,0
Wheeler,Fossil,Secretary of State,D,,Under Votes,19
Wheeler,Mitchell,Secretary of State,D,,Under Votes,4
Wheeler,Spray,Secretary of State,D,,Under Votes,12
Wheeler,Fossil,State Treasurer,D,,Ben Westlund,93
Wheeler,Mitchell,State Treasurer,D,,Ben Westlund,57
Wheeler,Spray,State Treasurer,D,,Ben Westlund,31
Wheeler,Fossil,State Treasurer,D,,Write-ins,3
Wheeler,Mitchell,State Treasurer,D,,Write-ins,2
Wheeler,Spray,State Treasurer,D,,Write-ins,2
Wheeler,Fossil,State Treasurer,D,,Over Votes,1
Wheeler,Mitchell,State Treasurer,D,,Over Votes,0
Wheeler,Spray,State Treasurer,D,,Over Votes,0
Wheeler,Fossil,State Treasurer,D,,Under Votes,34
Wheeler,Mitchell,State Treasurer,D,,Under Votes,9
Wheeler,Spray,State Treasurer,D,,Under Votes,22
Wheeler,Fossil,Attorney General,D,,John R. Kroger,60
Wheeler,Mitchell,Attorney General,D,,John R. Kroger,33
Wheeler,Spray,Attorney General,D,,John R. Kroger,29
Wheeler,Fossil,Attorney General,D,,Greg Macpherson,40
Wheeler,Mitchell,Attorney General,D,,Greg Macpherson,31
Wheeler,Spray,Attorney General,D,,Greg Macpherson,13
Wheeler,Fossil,Attorney General,D,,Write-ins,0
Wheeler,Mitchell,Attorney General,D,,Write-ins,0
Wheeler,Spray,Attorney General,D,,Write-ins,0
Wheeler,Fossil,Attorney General,D,,Over Votes,2
Wheeler,Mitchell,Attorney General,D,,Over Votes,0
Wheeler,Spray,Attorney General,D,,Over Votes,0
Wheeler,Fossil,Attorney General,D,,Under Votes,29
Wheeler,Mitchell,Attorney General,D,,Under Votes,4
Wheeler,Spray,Attorney General,D,,Under Votes,13
Wheeler,Fossil,State Senate,D,,Jim Gilbertson,8
Wheeler,Mitchell,State Senate,D,,Jim Gilbertson,0
Wheeler,Spray,State Senate,D,,Jim Gilbertson,0
Wheeler,Fossil,State Senate,D,,William Wyatt,0
Wheeler,Mitchell,State Senate,D,,William Wyatt,0
Wheeler,Spray,State Senate,D,,William Wyatt,1
Wheeler,Fossil,State Senate,D,,Lynn Craig,3
Wheeler,Mitchell,State Senate,D,,Lynn Craig,0
Wheeler,Spray,State Senate,D,,Lynn Craig,0
Wheeler,Fossil,State Senate,D,,Ted Ferrioli,4
Wheeler,Mitchell,State Senate,D,,Ted Ferrioli,3
Wheeler,Spray,State Senate,D,,Ted Ferrioli,3
Wheeler,Fossil,State Senate,D,,Effie Carroll,0
Wheeler,Mitchell,State Senate,D,,Effie Carroll,1
Wheeler,Spray,State Senate,D,,Effie Carroll,0
Wheeler,Fossil,State Senate,D,,Gordon H. Smith,0
Wheeler,Mitchell,State Senate,D,,Gordon H. Smith,1
Wheeler,Spray,State Senate,D,,Gordon H. Smith,0
Wheeler,Fossil,State Senate,D,,Write-ins,0
Wheeler,Mitchell,State Senate,D,,Write-ins,0
Wheeler,Spray,State Senate,D,,Write-ins,0
Wheeler,Fossil,State Senate,D,,Over Votes,0
Wheeler,Mitchell,State Senate,D,,Over Votes,0
Wheeler,Spray,State Senate,D,,Over Votes,0
Wheeler,Fossil,State Senate,D,,Under Votes,115
Wheeler,Mitchell,State Senate,D,,Under Votes,62
Wheeler,Spray,State Senate,D,,Under Votes,50
Wheeler,Fossil,State House,D,59,Mike Ahern,89
Wheeler,Mitchell,State House,D,59,Mike Ahern,50
Wheeler,Spray,State House,D,59,Mike Ahern,23
Wheeler,Fossil,State House,D,59,Write-ins,3
Wheeler,Mitchell,State House,D,59,Write-ins,0
Wheeler,Spray,State House,D,59,Write-ins,2
Wheeler,Fossil,State House,D,59,Over Votes,2
Wheeler,Mitchell,State House,D,59,Over Votes,0
Wheeler,Spray,State House,D,59,Over Votes,0
Wheeler,Fossil,State House,D,59,Under Votes,37
Wheeler,Mitchell,State House,D,59,Under Votes,18
Wheeler,Spray,State House,D,59,Under Votes,30
Wheeler,Fossil,President,R,,John McCain,90
Wheeler,Mitchell,President,R,,John McCain,58
Wheeler,Spray,President,R,,John McCain,66
Wheeler,Fossil,President,R,,Ron Paul,20
Wheeler,Mitchell,President,R,,Ron Paul,13
Wheeler,Spray,President,R,,Ron Paul,10
Wheeler,Fossil,President,R,,Write-ins,6
Wheeler,Mitchell,President,R,,Write-ins,1
Wheeler,Spray,President,R,,Write-ins,5
Wheeler,Fossil,President,R,,Over Votes,1
Wheeler,Mitchell,President,R,,Over Votes,0
Wheeler,Spray,President,R,,Over Votes,0
Wheeler,Fossil,President,R,,Under Votes,12
Wheeler,Mitchell,President,R,,Under Votes,4
Wheeler,Spray,President,R,,Under Votes,5
Wheeler,Fossil,U.S. Senate,R,,Gordon H. Smith,100
Wheeler,Mitchell,U.S. Senate,R,,Gordon H. Smith,61
Wheeler,Spray,U.S. Senate,R,,Gordon H. Smith,64
Wheeler,Fossil,U.S. Senate,R,,Gordon Leitch,17
Wheeler,Mitchell,U.S. Senate,R,,Gordon Leitch,6
Wheeler,Spray,U.S. Senate,R,,Gordon Leitch,17
Wheeler,Fossil,U.S. Senate,R,,Write-ins,0
Wheeler,Mitchell,U.S. Senate,R,,Write-ins,0
Wheeler,Spray,U.S. Senate,R,,Write-ins,0
Wheeler,Fossil,U.S. Senate,R,,Over Votes,2
Wheeler,Mitchell,U.S. Senate,R,,Over Votes,0
Wheeler,Spray,U.S. Senate,R,,Over Votes,0
Wheeler,Fossil,U.S. Senate,R,,Under Votes,10
Wheeler,Mitchell,U.S. Senate,R,,Under Votes,9
Wheeler,Spray,U.S. Senate,R,,Under Votes,5
Wheeler,Fossil,U.S. House,R,2,Greg Walden,116
Wheeler,Mitchell,U.S. House,R,2,Greg Walden,66
Wheeler,Spray,U.S. House,R,2,Greg Walden,70
Wheeler,Fossil,U.S. House,R,2,Write-ins,0
Wheeler,Mitchell,U.S. House,R,2,Write-ins,0
Wheeler,Spray,U.S. House,R,2,Write-ins,3
Wheeler,Fossil,U.S. House,R,2,Over Votes,0
Wheeler,Mitchell,U.S. House,R,2,Over Votes,0
Wheeler,Spray,U.S. House,R,2,Over Votes,0
Wheeler,Fossil,U.S. House,R,2,Under Votes,13
Wheeler,Mitchell,U.S. House,R,2,Under Votes,10
Wheeler,Spray,U.S. House,R,2,Under Votes,13
Wheeler,Fossil,Secretary of State,R,,Rick Dancer,77
Wheeler,Mitchell,Secretary of State,R,,Rick Dancer,54
Wheeler,Spray,Secretary of State,R,,Rick Dancer,61
Wheeler,Fossil,Secretary of State,R,,Write-ins,0
Wheeler,Mitchell,Secretary of State,R,,Write-ins,0
Wheeler,Spray,Secretary of State,R,,Write-ins,1
Wheeler,Fossil,Secretary of State,R,,Over Votes,0
Wheeler,Mitchell,Secretary of State,R,,Over Votes,0
Wheeler,Spray,Secretary of State,R,,Over Votes,0
Wheeler,Fossil,Secretary of State,R,,Under Votes,52
Wheeler,Mitchell,Secretary of State,R,,Under Votes,22
Wheeler,Spray,Secretary of State,R,,Under Votes,24
Wheeler,Fossil,State Treasurer,R,,Allen Alley,75
Wheeler,Mitchell,State Treasurer,R,,Allen Alley,53
Wheeler,Spray,State Treasurer,R,,Allen Alley,58
Wheeler,Fossil,State Treasurer,R,,Write-ins,1
Wheeler,Mitchell,State Treasurer,R,,Write-ins,2
Wheeler,Spray,State Treasurer,R,,Write-ins,1
Wheeler,Fossil,State Treasurer,R,,Over Votes,0
Wheeler,Mitchell,State Treasurer,R,,Over Votes,0
Wheeler,Spray,State Treasurer,R,,Over Votes,0
Wheeler,Fossil,State Treasurer,R,,Under Votes,53
Wheeler,Mitchell,State Treasurer,R,,Under Votes,21
Wheeler,Spray,State Treasurer,R,,Under Votes,27
Wheeler,Fossil,Attorney General,R,,Kevin Campbell,0
Wheeler,Mitchell,Attorney General,R,,Kevin Campbell,0
Wheeler,Spray,Attorney General,R,,Kevin Campbell,1
Wheeler,Fossil,Attorney General,R,,John Kroger,2
Wheeler,Mitchell,Attorney General,R,,John Kroger,0
Wheeler,Spray,Attorney General,R,,John Kroger,0
Wheeler,Fossil,Attorney General,R,,Hardy Meyers,1
Wheeler,Mitchell,Attorney General,R,,Hardy Meyers,0
Wheeler,Spray,Attorney General,R,,Hardy Meyers,0
Wheeler,Fossil,Attorney General,R,,Write-ins,0
Wheeler,Mitchell,Attorney General,R,,Write-ins,2
Wheeler,Spray,Attorney General,R,,Write-ins,0
Wheeler,Fossil,Attorney General,R,,Over Votes,0
Wheeler,Mitchell,Attorney General,R,,Over Votes,0
Wheeler,Spray,Attorney General,R,,Over Votes,0
Wheeler,Fossil,Attorney General,R,,Under Votes,125
Wheeler,Mitchell,Attorney General,R,,Under Votes,73
Wheeler,Spray,Attorney General,R,,Under Votes,85
Wheeler,Fossil,State Senate,R,,Ted Ferrioli,102
Wheeler,Mitchell,State Senate,R,,Ted Ferrioli,63
Wheeler,Spray,State Senate,R,,Ted Ferrioli,69
Wheeler,Fossil,State Senate,R,,Write-ins,0
Wheeler,Mitchell,State Senate,R,,Write-ins,1
Wheeler,Spray,State Senate,R,,Write-ins,0
Wheeler,Fossil,State Senate,R,,Over Votes,0
Wheeler,Mitchell,State Senate,R,,Over Votes,0
Wheeler,Spray,State Senate,R,,Over Votes,0
Wheeler,Fossil,State Senate,R,,Under Votes,27
Wheeler,Mitchell,State Senate,R,,Under Votes,12
Wheeler,Spray,State Senate,R,,Under Votes,17
Wheeler,Fossil,State House,R,59,John E. Huffman,86
Wheeler,Mitchell,State House,R,59,John E. Huffman,55
Wheeler,Spray,State House,R,59,John E. Huffman,64
Wheeler,Fossil,State House,R,59,Write-ins,0
Wheeler,Mitchell,State House,R,59,Write-ins,0
Wheeler,Spray,State House,R,59,Write-ins,0
Wheeler,Fossil,State House,R,59,Over Votes,0
Wheeler,Mitchell,State House,R,59,Over Votes,0
Wheeler,Spray,State House,R,59,Over Votes,0
Wheeler,Fossil,State House,R,59,Under Votes,43
Wheeler,Mitchell,State House,R,59,Under Votes,21
Wheeler,Spray,State House,R,59,Under Votes,22