candidate,office,district,party,county,precinct,votes,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 17 Culver,46,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,4,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,3,
Tim S White,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,0,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,2,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,4,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,10,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,6,
Write Ins,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,1,
Over Votes,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 18 Round Butte,11,
Ed Jones,Governor,,DEM,Jefferson,No. 18 Round Butte,13,
Kate Brown,Governor,,DEM,Jefferson,No. 18 Round Butte,17,
Candace Neville,Governor,,DEM,Jefferson,No. 18 Round Butte,3,
Write-Ins,Governor,,DEM,Jefferson,No. 18 Round Butte,4,
Over votes,Governor,,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,Governor,,DEM,Jefferson,No. 18 Round Butte,4,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 18 Round Butte,22,
Write In,State Senate,30,DEM,Jefferson,No. 18 Round Butte,1,
Over votes,State Senate,30,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,State Senate,30,DEM,Jefferson,No. 18 Round Butte,18,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 18 Round Butte,22,
Write In,State House,59,DEM,Jefferson,No. 18 Round Butte,0,
Over votes,State House,59,DEM,Jefferson,No. 18 Round Butte,0,
Under votes,State House,59,DEM,Jefferson,No. 18 Round Butte,19,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 18 Round Butte,7,
Write In,U.S. House,2,IND,Jefferson,No. 18 Round Butte,1,
Over votes,U.S. House,2,IND,Jefferson,No. 18 Round Butte,0,
Under votes,U.S. House,2,IND,Jefferson,No. 18 Round Butte,3,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 18 Round Butte,1,
Skye J Allen,Governor,,IND,Jefferson,No. 18 Round Butte,1,
Patrick Starnes,Governor,,IND,Jefferson,No. 18 Round Butte,0,
Over votes,Governor,,IND,Jefferson,No. 18 Round Butte,0,
Under votes,Governor,,IND,Jefferson,No. 18 Round Butte,6,
Over Votes,State House,59,IND,Jefferson,No. 18 Round Butte,0,
Under votes,State House,59,IND,Jefferson,No. 18 Round Butte,11,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 18 Round Butte,6,
Greg Walden,U.S. House,2,REP,Jefferson,No. 18 Round Butte,75,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 18 Round Butte,21,
Write In,U.S. House,2,REP,Jefferson,No. 18 Round Butte,1,
Over votes,U.S. House,2,REP,Jefferson,No. 18 Round Butte,0,
Under votes,U.S. House,2,REP,Jefferson,No. 18 Round Butte,7,
Knute Buehler,Governor,,REP,Jefferson,No. 18 Round Butte,60,
Keenen W Bohach,Governor,,REP,Jefferson,No. 18 Round Butte,1,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 18 Round Butte,7,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 18 Round Butte,0,
David W Stauffer,Governor,,REP,Jefferson,No. 18 Round Butte,0,
Jeff Smith,Governor,,REP,Jefferson,No. 18 Round Butte,1,
Jack W Tacy ,Governor,,REP,Jefferson,No. 18 Round Butte,0,
Brett Hyland,Governor,,REP,Jefferson,No. 18 Round Butte,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 18 Round Butte,0,
Sam Carpenter,Governor,,REP,Jefferson,No. 18 Round Butte,37,
Write In,Governor,,REP,Jefferson,No. 18 Round Butte,0,
Over votes,Governor,,REP,Jefferson,No. 18 Round Butte,0,
Under votes,Governor,,REP,Jefferson,No. 18 Round Butte,4,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 18 Round Butte,71,
Write Ins,State Senate,30,REP,Jefferson,No. 18 Round Butte,3,
Over Votes,State Senate,30,REP,Jefferson,No. 18 Round Butte,0,
Under votes,State Senate,30,REP,Jefferson,No. 18 Round Butte,36,
Daniel G Bonham,State House,59,REP,Jefferson,No. 18 Round Butte,70,
Write Ins,State House,59,REP,Jefferson,No. 18 Round Butte,0,
Over votes,State House,59,REP,Jefferson,No. 18 Round Butte,0,
Under votes,State House,59,REP,Jefferson,No. 18 Round Butte,40,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 18 Round Butte,66,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 18 Round Butte,38,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 18 Round Butte,29,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 18 Round Butte,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 18 Round Butte,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 18 Round Butte,49,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 19 West Madras,5,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 19 West Madras,7,
Tim S White,U.S. House,2,DEM,Jefferson,No. 19 West Madras,10,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 19 West Madras,8,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 19 West Madras,24,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 19 West Madras,13,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 19 West Madras,28,
Write Ins,U.S. House,2,DEM,Jefferson,No. 19 West Madras,2,
Over Votes,U.S. House,2,DEM,Jefferson,No. 19 West Madras,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 19 West Madras,19,
Ed Jones,Governor,,DEM,Jefferson,No. 19 West Madras,23,
Kate Brown,Governor,,DEM,Jefferson,No. 19 West Madras,66,
Candace Neville,Governor,,DEM,Jefferson,No. 19 West Madras,13,
Write-Ins,Governor,,DEM,Jefferson,No. 19 West Madras,7,
Over votes,Governor,,DEM,Jefferson,No. 19 West Madras,0,
Under votes,Governor,,DEM,Jefferson,No. 19 West Madras,7,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 19 West Madras,78,
Write In,State Senate,30,DEM,Jefferson,No. 19 West Madras,3,
Over votes,State Senate,30,DEM,Jefferson,No. 19 West Madras,0,
Under votes,State Senate,30,DEM,Jefferson,No. 19 West Madras,35,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 19 West Madras,81,
Write In,State House,59,DEM,Jefferson,No. 19 West Madras,2,
Over votes,State House,59,DEM,Jefferson,No. 19 West Madras,0,
Under votes,State House,59,DEM,Jefferson,No. 19 West Madras,33,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 19 West Madras,15,
Write In,U.S. House,2,IND,Jefferson,No. 19 West Madras,2,
Over votes,U.S. House,2,IND,Jefferson,No. 19 West Madras,0,
Under votes,U.S. House,2,IND,Jefferson,No. 19 West Madras,4,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 19 West Madras,1,
Skye J Allen,Governor,,IND,Jefferson,No. 19 West Madras,5,
Patrick Starnes,Governor,,IND,Jefferson,No. 19 West Madras,7,
Over votes,Governor,,IND,Jefferson,No. 19 West Madras,0,
Under votes,Governor,,IND,Jefferson,No. 19 West Madras,3,
Over Votes,State House,59,IND,Jefferson,No. 19 West Madras,0,
Under votes,State House,59,IND,Jefferson,No. 19 West Madras,20,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 19 West Madras,13,
Greg Walden,U.S. House,2,REP,Jefferson,No. 19 West Madras,85,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 19 West Madras,26,
Write In,U.S. House,2,REP,Jefferson,No. 19 West Madras,0,
Over votes,U.S. House,2,REP,Jefferson,No. 19 West Madras,1,
Under votes,U.S. House,2,REP,Jefferson,No. 19 West Madras,7,
Knute Buehler,Governor,,REP,Jefferson,No. 19 West Madras,46,
Keenen W Bohach,Governor,,REP,Jefferson,No. 19 West Madras,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 19 West Madras,21,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 19 West Madras,1,
David W Stauffer,Governor,,REP,Jefferson,No. 19 West Madras,1,
Jeff Smith,Governor,,REP,Jefferson,No. 19 West Madras,1,
Jack W Tacy ,Governor,,REP,Jefferson,No. 19 West Madras,0,
Brett Hyland,Governor,,REP,Jefferson,No. 19 West Madras,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 19 West Madras,4,
Sam Carpenter,Governor,,REP,Jefferson,No. 19 West Madras,55,
Write In,Governor,,REP,Jefferson,No. 19 West Madras,0,
Over votes,Governor,,REP,Jefferson,No. 19 West Madras,0,
Under votes,Governor,,REP,Jefferson,No. 19 West Madras,3,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 19 West Madras,90,
Write Ins,State Senate,30,REP,Jefferson,No. 19 West Madras,1,
Over Votes,State Senate,30,REP,Jefferson,No. 19 West Madras,0,
Under votes,State Senate,30,REP,Jefferson,No. 19 West Madras,41,
Daniel G Bonham,State House,59,REP,Jefferson,No. 19 West Madras,92,
Write Ins,State House,59,REP,Jefferson,No. 19 West Madras,0,
Over votes,State House,59,REP,Jefferson,No. 19 West Madras,0,
Under votes,State House,59,REP,Jefferson,No. 19 West Madras,40,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 19 West Madras,107,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 19 West Madras,91,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 19 West Madras,80,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 19 West Madras,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 19 West Madras,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 19 West Madras,59,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 20 Circle M,6,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 20 Circle M,1,
Tim S White,U.S. House,2,DEM,Jefferson,No. 20 Circle M,3,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 20 Circle M,2,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 20 Circle M,1,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 20 Circle M,3,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 20 Circle M,8,
Write Ins,U.S. House,2,DEM,Jefferson,No. 20 Circle M,1,
Over Votes,U.S. House,2,DEM,Jefferson,No. 20 Circle M,1,
Under votes,U.S. House,2,DEM,Jefferson,No. 20 Circle M,3,
Ed Jones,Governor,,DEM,Jefferson,No. 20 Circle M,5,
Kate Brown,Governor,,DEM,Jefferson,No. 20 Circle M,16,
Candace Neville,Governor,,DEM,Jefferson,No. 20 Circle M,2,
Write-Ins,Governor,,DEM,Jefferson,No. 20 Circle M,4,
Over votes,Governor,,DEM,Jefferson,No. 20 Circle M,0,
Under votes,Governor,,DEM,Jefferson,No. 20 Circle M,2,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 20 Circle M,20,
Write In,State Senate,30,DEM,Jefferson,No. 20 Circle M,3,
Over votes,State Senate,30,DEM,Jefferson,No. 20 Circle M,0,
Under votes,State Senate,30,DEM,Jefferson,No. 20 Circle M,6,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 20 Circle M,19,
Write In,State House,59,DEM,Jefferson,No. 20 Circle M,3,
Over votes,State House,59,DEM,Jefferson,No. 20 Circle M,0,
Under votes,State House,59,DEM,Jefferson,No. 20 Circle M,7,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 20 Circle M,2,
Write In,U.S. House,2,IND,Jefferson,No. 20 Circle M,0,
Over votes,U.S. House,2,IND,Jefferson,No. 20 Circle M,0,
Under votes,U.S. House,2,IND,Jefferson,No. 20 Circle M,1,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 20 Circle M,0,
Skye J Allen,Governor,,IND,Jefferson,No. 20 Circle M,1,
Patrick Starnes,Governor,,IND,Jefferson,No. 20 Circle M,1,
Over votes,Governor,,IND,Jefferson,No. 20 Circle M,0,
Under votes,Governor,,IND,Jefferson,No. 20 Circle M,1,
Over Votes,State House,59,IND,Jefferson,No. 20 Circle M,0,
Under votes,State House,59,IND,Jefferson,No. 20 Circle M,3,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 20 Circle M,3,
Greg Walden,U.S. House,2,REP,Jefferson,No. 20 Circle M,20,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 20 Circle M,8,
Write In,U.S. House,2,REP,Jefferson,No. 20 Circle M,0,
Over votes,U.S. House,2,REP,Jefferson,No. 20 Circle M,0,
Under votes,U.S. House,2,REP,Jefferson,No. 20 Circle M,2,
Knute Buehler,Governor,,REP,Jefferson,No. 20 Circle M,8,
Keenen W Bohach,Governor,,REP,Jefferson,No. 20 Circle M,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 20 Circle M,3,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 20 Circle M,0,
David W Stauffer,Governor,,REP,Jefferson,No. 20 Circle M,0,
Jeff Smith,Governor,,REP,Jefferson,No. 20 Circle M,1,
Jack W Tacy ,Governor,,REP,Jefferson,No. 20 Circle M,0,
Brett Hyland,Governor,,REP,Jefferson,No. 20 Circle M,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 20 Circle M,0,
Sam Carpenter,Governor,,REP,Jefferson,No. 20 Circle M,20,
Write In,Governor,,REP,Jefferson,No. 20 Circle M,0,
Over votes,Governor,,REP,Jefferson,No. 20 Circle M,0,
Under votes,Governor,,REP,Jefferson,No. 20 Circle M,1,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 20 Circle M,20,
Write Ins,State Senate,30,REP,Jefferson,No. 20 Circle M,0,
Over Votes,State Senate,30,REP,Jefferson,No. 20 Circle M,0,
Under votes,State Senate,30,REP,Jefferson,No. 20 Circle M,13,
Daniel G Bonham,State House,59,REP,Jefferson,No. 20 Circle M,15,
Write Ins,State House,59,REP,Jefferson,No. 20 Circle M,0,
Over votes,State House,59,REP,Jefferson,No. 20 Circle M,0,
Under votes,State House,59,REP,Jefferson,No. 20 Circle M,18,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 20 Circle M,27,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 20 Circle M,24,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 20 Circle M,13,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 20 Circle M,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 20 Circle M,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 20 Circle M,19,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 21 Central,5,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 21 Central,3,
Tim S White,U.S. House,2,DEM,Jefferson,No. 21 Central,10,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 21 Central,12,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 21 Central,23,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 21 Central,36,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 21 Central,50,
Write Ins,U.S. House,2,DEM,Jefferson,No. 21 Central,1,
Over Votes,U.S. House,2,DEM,Jefferson,No. 21 Central,1,
Under votes,U.S. House,2,DEM,Jefferson,No. 21 Central,31,
Ed Jones,Governor,,DEM,Jefferson,No. 21 Central,30,
Kate Brown,Governor,,DEM,Jefferson,No. 21 Central,103,
Candace Neville,Governor,,DEM,Jefferson,No. 21 Central,20,
Write-Ins,Governor,,DEM,Jefferson,No. 21 Central,4,
Over votes,Governor,,DEM,Jefferson,No. 21 Central,0,
Under votes,Governor,,DEM,Jefferson,No. 21 Central,15,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 21 Central,98,
Write In,State Senate,30,DEM,Jefferson,No. 21 Central,2,
Over votes,State Senate,30,DEM,Jefferson,No. 21 Central,0,
Under votes,State Senate,30,DEM,Jefferson,No. 21 Central,72,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 21 Central,105,
Write In,State House,59,DEM,Jefferson,No. 21 Central,1,
Over votes,State House,59,DEM,Jefferson,No. 21 Central,0,
Under votes,State House,59,DEM,Jefferson,No. 21 Central,66,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 21 Central,4,
Write In,U.S. House,2,IND,Jefferson,No. 21 Central,7,
Over votes,U.S. House,2,IND,Jefferson,No. 21 Central,0,
Under votes,U.S. House,2,IND,Jefferson,No. 21 Central,4,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 21 Central,1,
Skye J Allen,Governor,,IND,Jefferson,No. 21 Central,0,
Patrick Starnes,Governor,,IND,Jefferson,No. 21 Central,2,
Over votes,Governor,,IND,Jefferson,No. 21 Central,0,
Under votes,Governor,,IND,Jefferson,No. 21 Central,2,
Over Votes,State House,59,IND,Jefferson,No. 21 Central,0,
Under votes,State House,59,IND,Jefferson,No. 21 Central,12,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 21 Central,20,
Greg Walden,U.S. House,2,REP,Jefferson,No. 21 Central,195,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 21 Central,37,
Write In,U.S. House,2,REP,Jefferson,No. 21 Central,1,
Over votes,U.S. House,2,REP,Jefferson,No. 21 Central,1,
Under votes,U.S. House,2,REP,Jefferson,No. 21 Central,14,
Knute Buehler,Governor,,REP,Jefferson,No. 21 Central,111,
Keenen W Bohach,Governor,,REP,Jefferson,No. 21 Central,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 21 Central,37,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 21 Central,0,
David W Stauffer,Governor,,REP,Jefferson,No. 21 Central,0,
Jeff Smith,Governor,,REP,Jefferson,No. 21 Central,6,
Jack W Tacy ,Governor,,REP,Jefferson,No. 21 Central,0,
Brett Hyland,Governor,,REP,Jefferson,No. 21 Central,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 21 Central,3,
Sam Carpenter,Governor,,REP,Jefferson,No. 21 Central,100,
Write In,Governor,,REP,Jefferson,No. 21 Central,1,
Over votes,Governor,,REP,Jefferson,No. 21 Central,0,
Under votes,Governor,,REP,Jefferson,No. 21 Central,10,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 21 Central,163,
Write Ins,State Senate,30,REP,Jefferson,No. 21 Central,1,
Over Votes,State Senate,30,REP,Jefferson,No. 21 Central,0,
Under votes,State Senate,30,REP,Jefferson,No. 21 Central,104,
Daniel G Bonham,State House,59,REP,Jefferson,No. 21 Central,164,
Write Ins,State House,59,REP,Jefferson,No. 21 Central,0,
Over votes,State House,59,REP,Jefferson,No. 21 Central,0,
Under votes,State House,59,REP,Jefferson,No. 21 Central,104,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 21 Central,158,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 21 Central,139,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 21 Central,65,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 21 Central,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 21 Central,1,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 21 Central,165,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 22 Sunset,1,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 22 Sunset,0,
Tim S White,U.S. House,2,DEM,Jefferson,No. 22 Sunset,7,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 22 Sunset,6,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 22 Sunset,9,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 22 Sunset,22,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 22 Sunset,17,
Write Ins,U.S. House,2,DEM,Jefferson,No. 22 Sunset,2,
Over Votes,U.S. House,2,DEM,Jefferson,No. 22 Sunset,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 22 Sunset,17,
Ed Jones,Governor,,DEM,Jefferson,No. 22 Sunset,8,
Kate Brown,Governor,,DEM,Jefferson,No. 22 Sunset,50,
Candace Neville,Governor,,DEM,Jefferson,No. 22 Sunset,9,
Write-Ins,Governor,,DEM,Jefferson,No. 22 Sunset,5,
Over votes,Governor,,DEM,Jefferson,No. 22 Sunset,0,
Under votes,Governor,,DEM,Jefferson,No. 22 Sunset,9,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 22 Sunset,46,
Write In,State Senate,30,DEM,Jefferson,No. 22 Sunset,1,
Over votes,State Senate,30,DEM,Jefferson,No. 22 Sunset,0,
Under votes,State Senate,30,DEM,Jefferson,No. 22 Sunset,34,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 22 Sunset,48,
Write In,State House,59,DEM,Jefferson,No. 22 Sunset,1,
Over votes,State House,59,DEM,Jefferson,No. 22 Sunset,0,
Under votes,State House,59,DEM,Jefferson,No. 22 Sunset,32,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 22 Sunset,4,
Write In,U.S. House,2,IND,Jefferson,No. 22 Sunset,3,
Over votes,U.S. House,2,IND,Jefferson,No. 22 Sunset,0,
Under votes,U.S. House,2,IND,Jefferson,No. 22 Sunset,4,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 22 Sunset,0,
Skye J Allen,Governor,,IND,Jefferson,No. 22 Sunset,1,
Patrick Starnes,Governor,,IND,Jefferson,No. 22 Sunset,1,
Over votes,Governor,,IND,Jefferson,No. 22 Sunset,0,
Under votes,Governor,,IND,Jefferson,No. 22 Sunset,3,
Over Votes,State House,59,IND,Jefferson,No. 22 Sunset,0,
Under votes,State House,59,IND,Jefferson,No. 22 Sunset,8,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 22 Sunset,11,
Greg Walden,U.S. House,2,REP,Jefferson,No. 22 Sunset,170,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 22 Sunset,32,
Write In,U.S. House,2,REP,Jefferson,No. 22 Sunset,0,
Over votes,U.S. House,2,REP,Jefferson,No. 22 Sunset,0,
Under votes,U.S. House,2,REP,Jefferson,No. 22 Sunset,21,
Knute Buehler,Governor,,REP,Jefferson,No. 22 Sunset,101,
Keenen W Bohach,Governor,,REP,Jefferson,No. 22 Sunset,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 22 Sunset,33,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 22 Sunset,0,
David W Stauffer,Governor,,REP,Jefferson,No. 22 Sunset,0,
Jeff Smith,Governor,,REP,Jefferson,No. 22 Sunset,1,
Jack W Tacy ,Governor,,REP,Jefferson,No. 22 Sunset,0,
Brett Hyland,Governor,,REP,Jefferson,No. 22 Sunset,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 22 Sunset,3,
Sam Carpenter,Governor,,REP,Jefferson,No. 22 Sunset,87,
Write In,Governor,,REP,Jefferson,No. 22 Sunset,0,
Over votes,Governor,,REP,Jefferson,No. 22 Sunset,0,
Under votes,Governor,,REP,Jefferson,No. 22 Sunset,9,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 22 Sunset,133,
Write Ins,State Senate,30,REP,Jefferson,No. 22 Sunset,3,
Over Votes,State Senate,30,REP,Jefferson,No. 22 Sunset,0,
Under votes,State Senate,30,REP,Jefferson,No. 22 Sunset,98,
Daniel G Bonham,State House,59,REP,Jefferson,No. 22 Sunset,131,
Write Ins,State House,59,REP,Jefferson,No. 22 Sunset,1,
Over votes,State House,59,REP,Jefferson,No. 22 Sunset,0,
Under votes,State House,59,REP,Jefferson,No. 22 Sunset,102,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 22 Sunset,147,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 22 Sunset,79,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 22 Sunset,42,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 22 Sunset,2,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 22 Sunset,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 22 Sunset,111,